"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7560771540953","32.2054527373842","31.6642850474192","30.4874674106777","29.3143189781075","28.4538943298306","28.2759121814159","27.8127000434782","25.5417969250521","23.3159566822187","21.3853849334198","21.1459492203356","20.6209112008346","21.227088539639","22.2784435201486","22.9620875206677","23.3376746837336","23.5280263131831","24.3744402986052","25.3212593344848","26.101029193879","","",
"Afghanistan","AFG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","44.1","39","36.3","34.5","31.9","28.6","25.4","22.2","20.5","19.7","21","20.8","20.7","21.3","21.8","22.7","24","26.9","28.8","30.1","","",
"Africa Western and Central","AFW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3557306790288","15.8751104594407","15.2925564071587","14.5868013898813","13.8186516276504","13.2557135554836","12.6573679077681","12.3911447012217","11.9801476527035","11.7956293574827","11.5878067736463","11.6928118683754","11.6032258853916","11.5854608604264","11.4991884171969","11.5534969610136","11.6934845303224","11.8669185186284","12.8242352037965","13.9089231734595","15.1128497939008","","",
"Angola","AGO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.8","63.5","59.1","55.4","52.6","49.8","46.7","43.6","32.6","22.6","14.2","13.3","12.7","12.5","13.5","14.4","14.7","15.2","17.5","20.1","21.6","","",
"Albania","ALB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6","7.4","8.6","8.9","8.8","8.3","7.4","6.1","5.4","4.8","4.5","4.4","4.4","4.3","4.2","4.2","4.1","4.1","4.1","4.1","","",
"Andorra","AND","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6021455774326","11.5370808113154","11.5485235402585","11.5760847776457","11.3596144420881","11.1013881958479","10.8357138402628","10.7192450124617","10.4875370678749","10.4695370414286","10.3641060137228","10.4733179375437","10.3288333534283","10.6221932436262","11.2394350815381","11.7763166369671","12.1460369338527","12.0823833444772","12.0418499632765","11.9864868389581","12.2865795565579","","",
"United Arab Emirates","ARE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","3.9","5","6.6","7.6","8","7.9","7.4","7.9","7.4","6.9","5.4","4.9","4.7","4.8","4.5","4.3","3.8","3.4","2.7","2.5","","",
"Argentina","ARG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","3.9","4.6","4.1","3.8","3.5","3.4","3.4","3.4","3.5","3.4","3.3","3","2.7","2.7","2.9","3.3","3.4","3.4","3.3","3.2","","",
